"headword"	"type"	"comment"	"number"	"verses"
"Jesus, Jesu"	""	""	"4:2"	"la : — quamquam Iesus ipse non baptizaret sed discipuli eius —
en: (although Jesus himself was not baptizing, just his disciples),"
"Jesus, Jesu"	""	""	"5:17"	"la : Iesus autem respondit eis: “ Pater meus usque modo operatur, et ego operor ”.
en: But Jesus answered them, ""My Father is at work until now, so I am at work."
"Jesus, Jesu"	""	""	"6:70"	"la : Respondit eis Iesus: “ Nonne ego vos Duodecim elegi? Et ex vobis unus Diabolus est ”.
en: Jesus answered them, ""Did I not choose you twelve? Yet is not one of you a devil?"
"Jesus, Jesu"	""	""	"8:42"	"la : Dixit eis Iesus: “ Si Deus pater vester esset, diligeretis me; ego enim ex Deo processi et veni; neque enim a meipso veni, sed ille me misit.
en: Jesus said to them, ""If God were your Father, you would love me, for I came from God and am here; I did not come on my own, but he sent me."
"Jesus, Jesu"	""	""	"11:17"	"la : Venit itaque Iesus et invenit eum quattuor dies iam in monumento habentem.
en: When Jesus arrived, he found that Lazarus had already been in the tomb for four days."
"Jesus, Jesu"	""	""	"12:14"	"la : Invenit autem Iesus asellum et sedit super eum, sicut scriptum est:
en: Jesus found an ass and sat upon it, as is written:"
"Jesus, Jesu"	""	""	"14:23"	"la : Respondit Iesus et dixit ei: “ Si quis diligit me, sermonem meum servabit, et Pater meus diliget eum, et ad eum veniemus et mansionem apud eum faciemus;
en: Jesus answered and said to him, ""Whoever loves me will keep my word, and my Father will love him, and we will come to him and make our dwelling with him."
"Jesus, Jesu"	""	""	"18:37"	"la : Dixit itaque ei Pilatus: “ Ergo rex es tu? ”. Respondit Iesus: “ Tu dicis quia rex sum. Ego in hoc natus sum et ad hoc veni in mundum, ut testimonium perhibeam veritati; omnis, qui est ex veritate, audit meam vocem ”.
en: So Pilate said to him, ""Then you are a king?"" Jesus answered, ""You say I am a king. For this I was born and for this I came into the world, to testify to the truth. Everyone who belongs to the truth listens to my voice."
"Jesus, Jesu"	""	""	"20:16"	"la : Dicit ei Iesus: “ Maria! ”. Conversa illa dicit ei Hebraice: “ Rabbuni! ” — quod dicitur Magister C.
en: Jesus said to her, ""Mary!"" She turned and said to him in Hebrew, ""Rabbouni,"" which means Teacher."
"venio, venire, veni, ventus"	""	""	"1:46"	"la : Et dixit ei Nathanael: “ A Nazareth potest aliquid boni esse? ”. Dicit ei Philippus: “ Veni et vide ”.
en: But Nathanael said to him, ""Can anything good come from Nazareth?"" Philip said to him, ""Come and see."
"venio, venire, veni, ventus"	""	""	"4:21"	"la : Dicit ei Iesus: “ Crede mihi, mulier, quia venit hora, quando neque in monte hoc neque in Hierosolymis adorabitis Patrem.
en: Jesus said to her, ""Believe me, woman, the hour is coming when you will worship the Father neither on this mountain nor in Jerusalem."
"venio, venire, veni, ventus"	""	""	"5:40"	"la : Et non vultis venire ad me, ut vitam habeatis.
en: But you do not want to come to me to have life."
"venio, venire, veni, ventus"	""	""	"6:65"	"la : Et dicebat: “ Propterea dixi vobis: Nemo potest venire ad me, nisi fuerit ei datum a Patre ”.
en: And he said, ""For this reason I have told you that no one can come to me unless it is granted him by my Father."
"venio, venire, veni, ventus"	""	""	"8:20"	"la : Haec verba locutus est in gazophylacio docens in templo; et nemo apprehendit eum, quia necdum venerat hora eius.
en: He spoke these words while teaching in the treasury in the temple area. But no one arrested him, because his hour had not yet come."
"venio, venire, veni, ventus"	""	""	"11:30"	"la : nondum enim venerat Iesus in castellum, sed erat adhuc in illo loco, ubi occurrerat ei Martha.
en: For Jesus had not yet come into the village, but was still where Martha had met him."
"venio, venire, veni, ventus"	""	""	"12:15"	"la : “ Noli timere, filia Sion. Ecce rex tuus venit sedens super pullum asinae ”.
en: Fear no more, O daughter Zion; see, your king comes, seated upon an ass's colt."
"venio, venire, veni, ventus"	""	""	"14:18"	"la : Non relinquam vos orphanos; venio ad vos.
en: I will not leave you orphans; I will come to you."
"venio, venire, veni, ventus"	""	""	"17:1"	"la : Haec locutus est Iesus; et, sublevatis oculis suis in caelum, dixit: “ Pater, venit hora: clarifica Filium tuum, ut Filius clarificet te,
en: When Jesus had said this, he raised his eyes to heaven and said, ""Father, the hour has come. Give glory to your son, so that your son may glorify you,"
"venio, venire, veni, ventus"	""	""	"20:4"	"la : Currebant autem duo simul, et ille alius discipulus praecucurrit citius Petro et venit primus ad monumentum;
en: They both ran, but the other disciple ran faster than Peter and arrived at the tomb first;"
"facio, facere, feci, factus"	""	""	"1:3"	"la : Omnia per ipsum facta sunt, et sine ipso factum est nihil, quod factum est;
en: All things came to be through him, and without him nothing came to be. What came to be"
"facio, facere, feci, factus"	""	""	"2:16"	"la : et his, qui columbas vendebant, dixit: “ Auferte ista hinc! Nolite facere domum Patris mei domum negotiationis ”.
en: and to those who sold doves he said, ""Take these out of here, and stop making my Father's house a marketplace."
"facio, facere, feci, factus"	""	""	"4:54"	"la : Hoc iterum secundum signum fecit Iesus, cum venisset a Iudaea in Galilaeam.
en: (Now) this was the second sign Jesus did when he came to Galilee from Judea."
"facio, facere, feci, factus"	""	""	"6:2"	"la : Et sequebatur eum multitudo magna, quia videbant signa, quae faciebat super his, qui infirmabantur.
en: A large crowd followed him, because they saw the signs he was performing on the sick."
"facio, facere, feci, factus"	""	""	"7:17"	"la : Si quis voluerit voluntatem eius facere, cognoscet de doctrina utrum ex Deo sit, an ego a meipso loquar.
en: Whoever chooses to do his will shall know whether my teaching is from God or whether I speak on my own."
"facio, facere, feci, factus"	""	""	"8:40"	"la : Nunc autem quaeritis me interficere, hominem, qui veritatem vobis locutus sum, quam audivi a Deo; hoc Abraham non fecit.
en: But now you are trying to kill me, a man who has told you the truth that I heard from God; Abraham did not do this."
"facio, facere, feci, factus"	""	""	"10:22"	"la : Facta sunt tunc Encaenia in Hierosolymis. Hiems erat;
en: The feast of the Dedication was then taking place in Jerusalem. It was winter."
"facio, facere, feci, factus"	""	""	"12:18"	"la : Propterea et obviam venit ei turba, quia audierunt eum fecisse hoc signum.
en: This was (also) why the crowd went to meet him, because they heard that he had done this sign."
"facio, facere, feci, factus"	""	""	"14:13"	"la : Et quodcumque petieritis in nomine meo, hoc faciam, ut glorificetur Pater in Filio;
en: And whatever you ask in my name, I will do, so that the Father may be glorified in the Son."
"facio, facere, feci, factus"	""	""	"17:4"	"la : Ego te clarificavi super terram; opus consummavi, quod dedisti mihi, ut faciam;
en: I glorified you on earth by accomplishing the work that you gave me to do."
"pater, patris"	""	""	"1:18"	"la : Deum nemo vidit umquam; unigenitus Deus, qui est in sinum Patris, ipse enarravit.
en: No one has ever seen God. The only Son, God, who is at the Father's side, has revealed him."
"pater, patris"	""	""	"5:23"	"la : ut omnes honorificent Filium, sicut honorificant Patrem. Qui non honorificat Filium, non honorificat Patrem, qui misit illum.
en: so that all may honor the Son just as they honor the Father. Whoever does not honor the Son does not honor the Father who sent him."
"pater, patris"	""	""	"6:40"	"la : Haec est enim voluntas Patris mei, ut omnis, qui videt Filium et credit in eum, habeat vitam aeternam; et resuscitabo ego eum in novissimo die ”.
en: For this is the will of my Father, that everyone who sees the Son and believes in him may have eternal life, and I shall raise him (on) the last day."
"pater, patris"	""	""	"8:18"	"la : Ego sum, qui testimonium perhibeo de meipso, et testimonium perhibet de me, qui misit me, Pater ”.
en: I testify on my behalf and so does the Father who sent me."
"pater, patris"	""	""	"8:54"	"la : Respondit Iesus: “ Si ego glorifico meipsum, gloria mea nihil est; est Pater meus, qui glorificat me, quem vos dicitis: “Deus noster est!”,
en: Jesus answered, ""If I glorify myself, my glory is worth nothing; but it is my Father who glorifies me, of whom you say, 'He is our God.'"
"pater, patris"	""	""	"10:37"	"la : Si non facio opera Patris mei, nolite credere mihi;
en: If I do not perform my Father's works, do not believe me;"
"pater, patris"	""	""	"14:2"	"la : In domo Patris mei mansiones multae sunt; si quo minus, dixissem vobis, quia vado parare vobis locum?
en: In my Father's house there are many dwelling places. If there were not, would I have told you that I am going to prepare a place for you?"
"pater, patris"	""	""	"14:21"	"la : Qui habet mandata mea et servat ea, ille est, qui diligit me; qui autem diligit me, diligetur a Patre meo, et ego diligam eum et manifestabo ei meipsum ”.
en: Whoever has my commandments and observes them is the one who loves me. And whoever loves me will be loved by my Father, and I will love him and reveal myself to him."
"pater, patris"	""	""	"15:16"	"la : Non vos me elegistis, sed ego elegi vos et posui vos, ut vos eatis et fructum afferatis, et fructus vester maneat, ut quodcumque petieritis Patrem in nomine meo, det vobis.
en: It was not you who chose me, but I who chose you and appointed you to go and bear fruit that will remain, so that whatever you ask the Father in my name he may give you."
"pater, patris"	""	""	"16:27"	"la : ipse enim Pater amat vos, quia vos me amastis et credidistis quia ego a Deo exivi.
en: For the Father himself loves you, because you have loved me and have come to believe that I came from God."
"meus, mea, meum"	""	""	"5:47"	"la : Si autem illius litteris non creditis, quomodo meis verbis credetis? ”.
en: But if you do not believe his writings, how will you believe my words?"
"meus, mea, meum"	""	""	"7:8"	"la : Vos ascendite ad diem festum; ego non ascendo ad diem festum istum, quia meum tempus nondum impletum est ”.
en: You go up to the feast. I am not going up to this feast, because my time has not yet been fulfilled."
"meus, mea, meum"	""	""	"8:49"	"la : Respondit Iesus: “ Ego daemonium non habeo, sed honorifico Patrem meum, et vos inhonoratis me.
en: Jesus answered, ""I am not possessed; I honor my Father, but you dishonor me."
"meus, mea, meum"	""	""	"10:14"	"la : Ego sum pastor bonus et cognosco meas, et cognoscunt me meae,
en: I am the good shepherd, and I know mine and mine know me,"
"meus, mea, meum"	""	""	"10:29"	"la : Pater meus quod dedit mihi, maius omnibus est, et nemo potest rapere de manu Patris.
en: My Father, who has given them to me, is greater than all, and no one can take them out of the Father's hand."
"meus, mea, meum"	""	""	"13:9"	"la : Dicit ei Simon Petrus: “ Domine, non tantum pedes meos sed et manus et caput! ”.
en: Simon Peter said to him, ""Master, then not only my feet, but my hands and head as well."
"meus, mea, meum"	""	""	"14:26"	"la : Paraclitus autem, Spiritus Sanctus, quem mittet Pater in nomine meo, ille vos docebit omnia et suggeret vobis omnia, quae dixi vobis.
en: The Advocate, the holy Spirit that the Father will send in my name - he will teach you everything and remind you of all that (I) told you."
"meus, mea, meum"	""	""	"15:12"	"la : Hoc est praeceptum meum, ut diligatis invicem, sicut dilexi vos;
en: This is my commandment: love one another as I love you."
"meus, mea, meum"	""	""	"16:23"	"la : Et in illo die me non rogabitis quidquam. Amen, amen dico vobis: Si quid petieritis Patrem in nomine meo, dabit vobis.
en: On that day you will not question me about anything. Amen, amen, I say to you, whatever you ask the Father in my name he will give you."
"meus, mea, meum"	""	""	"20:13"	"la : Et dicunt ei illi: “ Mulier, quid ploras? ”. Dicit eis: “ Tulerunt Dominum meum, et nescio, ubi posuerunt eum ”.
en: And they said to her, ""Woman, why are you weeping?"" She said to them, ""They have taken my Lord, and I don't know where they laid him."
"video, videre, vidi, visus"	""	""	"1:39"	"la : Dicit eis: “ Venite et videbitis ”. Venerunt ergo et viderunt, ubi maneret, et apud eum manserunt die illo; hora erat quasi decima.
en: He said to them,""Come, and you will see."" So they went and saw where he was staying, and they stayed with him that day. It was about four in the afternoon."
"video, videre, vidi, visus"	""	""	"3:36"	"la : Qui credit in Filium, habet vitam aeternam; qui autem incredulus est Filio, non videbit vitam, sed ira Dei manet super eum.
en: Whoever believes in the Son has eternal life, but whoever disobeys the Son will not see life, but the wrath of God remains upon him."
"video, videre, vidi, visus"	""	""	"6:5"	"la : Cum sublevasset ergo oculos Iesus et vidisset quia multitudo magna venit ad eum, dicit ad Philippum: “ Unde ememus panes, ut manducent hi? ”.
en: When Jesus raised his eyes and saw that a large crowd was coming to him, he said to Philip, ""Where can we buy enough food for them to eat?"
"video, videre, vidi, visus"	""	""	"6:62"	"la : Si ergo videritis Filium hominis ascendentem, ubi erat prius?
en: What if you were to see the Son of Man ascending to where he was before?"
"video, videre, vidi, visus"	""	""	"9:8"	"la : Itaque vicini et, qui videbant eum prius quia mendicus erat, dicebant: “ Nonne hic est, qui sedebat et mendicabat? ”;
en: His neighbors and those who had seen him earlier as a beggar said, ""Isn't this the one who used to sit and beg?"
"video, videre, vidi, visus"	""	""	"11:9"	"la : Respondit Iesus: “ Nonne duodecim horae sunt diei? Si quis ambulaverit in die, non offendit, quia lucem huius mundi videt;
en: Jesus answered, ""Are there not twelve hours in a day? If one walks during the day, he does not stumble, because he sees the light of this world."
"video, videre, vidi, visus"	""	""	"12:19"	"la : Pharisaei ergo dixerunt ad semetipsos: “ Videtis quia nihil proficitis? Ecce mundus post eum abiit! ”.
en: So the Pharisees said to one another, ""You see that you are gaining nothing. Look, the whole world has gone after him."
"video, videre, vidi, visus"	""	""	"15:24"	"la : Si opera non fecissem in eis, quae nemo alius fecit, peccatum non haberent; nunc autem et viderunt et oderunt et me et Patrem meum.
en: If I had not done works among them that no one else ever did, they would not have sin; but as it is, they have seen and hated both me and my Father."
"video, videre, vidi, visus"	""	""	"19:26"	"la : Cum vidisset ergo Iesus matrem et discipulum stantem, quem diligebat, dicit matri: “ Mulier, ecce filius tuus ”.
en: When Jesus saw his mother and the disciple there whom he loved, he said to his mother, ""Woman, behold, your son."
"video, videre, vidi, visus"	""	""	"20:14"	"la : Haec cum dixisset, conversa est retrorsum et videt Iesum stantem; et non sciebat quia Iesus est.
en: When she had said this, she turned around and saw Jesus there, but did not know it was Jesus."
"credo, credere, credidi, creditus"	""	""	"1:50"	"la : Respondit Iesus et dixit ei: “ Quia dixi tibi: Vidi te sub ficu, credis? Maiora his videbis ”.
en: Jesus answered and said to him, ""Do you believe because I told you that I saw you under the fig tree? You will see greater things than this."
"credo, credere, credidi, creditus"	""	""	"3:16"	"la : Sic enim dilexit Deus mundum, ut Filium suum unigenitum daret, ut omnis, qui credit in eum, non pereat, sed habeat vitam aeternam.
en: For God so loved the world that he gave his only Son, so that everyone who believes in him might not perish but might have eternal life."
"credo, credere, credidi, creditus"	""	""	"4:53"	"la : Cognovit ergo pater quia illa hora erat, in qua dixit ei Iesus: “ Filius tuus vivit ”, et credidit ipse et domus eius tota.
en: The father realized that just at that time Jesus had said to him, ""Your son will live,"" and he and his whole household came to believe."
"credo, credere, credidi, creditus"	""	""	"6:35"	"la : Dixit eis Iesus: “ Ego sum panis vitae. Qui venit ad me, non esuriet; et, qui credit in me, non sitiet umquam.
en: Jesus said to them, ""I am the bread of life; whoever comes to me will never hunger, and whoever believes in me will never thirst."
"credo, credere, credidi, creditus"	""	""	"7:38"	"la : qui credit in me. Sicut dixit Scriptura, flumina de ventre eius fluent aquae vivae ”.
en: Whoever believes in me, as scripture says: 'Rivers of living water will flow from within him.'"
"credo, credere, credidi, creditus"	""	""	"8:46"	"la : Quis ex vobis arguit me de peccato? Si veritatem dico, quare vos non creditis mihi?
en: Can any of you charge me with sin? If I am telling the truth, why do you not believe me?"
"credo, credere, credidi, creditus"	""	""	"10:38"	"la : si autem facio, et si mihi non vultis credere, operibus credite, ut cognoscatis et sciatis quia in me est Pater, et ego in Patre ”.
en: but if I perform them, even if you do not believe me, believe the works, so that you may realize (and understand) that the Father is in me and I am in the Father."
"credo, credere, credidi, creditus"	""	""	"11:42"	"la : Ego autem sciebam quia semper me audis, sed propter populum, qui circumstat, dixi, ut credant quia tu me misisti ”.
en: I know that you always hear me; but because of the crowd here I have said this, that they may believe that you sent me."
"credo, credere, credidi, creditus"	""	""	"12:39"	"la : Propterea non poterant credere, quia iterum dixit Isaias:
en: For this reason they could not believe, because again Isaiah said:"
"credo, credere, credidi, creditus"	""	""	"14:11"	"la : Credite mihi quia ego in Patre, et Pater in me est; alioquin propter opera ipsa credite.
en: Believe me that I am in the Father and the Father is in me, or else, believe because of the works themselves."
"habeo, habere, habui, habitus"	""	""	"2:3"	"la : Et deficiente vino, dicit mater Iesu ad eum: “ Vinum non habent ”.
en: When the wine ran short, the mother of Jesus said to him, ""They have no wine."
"habeo, habere, habui, habitus"	""	""	"4:32"	"la : Ille autem dixit eis: “ Ego cibum habeo manducare, quem vos nescitis ”.
en: But he said to them, ""I have food to eat of which you do not know."
"habeo, habere, habui, habitus"	""	""	"5:7"	"la : Respondit ei languidus: “ Domine, hominem non habeo, ut, cum turbata fuerit aqua, mittat me in piscinam; dum autem venio ego, alius ante me descendit ”.
en: The sick man answered him, ""Sir, I have no one to put me into the pool when the water is stirred up; while I am on my way, someone else gets down there before me."
"habeo, habere, habui, habitus"	""	""	"5:42"	"la : sed cognovi vos, quia dilectionem Dei non habetis in vobis.
en: moreover, I know that you do not have the love of God in you."
"habeo, habere, habui, habitus"	""	""	"7:20"	"la : Respondit turba: “ Daemonium habes! Quis te quaerit interficere? ”.
en: The crowd answered, ""You are possessed! Who is trying to kill you?"
"habeo, habere, habui, habitus"	""	""	"9:21"	"la : Quomodo autem nunc videat nescimus, aut quis eius aperuit oculos nos nescimus; ipsum interrogate. Aetatem habet; ipse de se loquetur! ”.
en: We do not know how he sees now, nor do we know who opened his eyes. Ask him, he is of age; he can speak for him self."
"habeo, habere, habui, habitus"	""	""	"10:20"	"la : Dicebant autem multi ex ipsis: “ Daemonium habet et insanit! Quid eum auditis? ”.
en: Many of them said, ""He is possessed and out of his mind; why listen to him?"
"habeo, habere, habui, habitus"	""	""	"12:48"	"la : Qui spernit me et non accipit verba mea, habet, qui iudicet eum: sermo, quem locutus sum, ille iudicabit eum in novissimo die,
en: Whoever rejects me and does not accept my words has something to judge him: the word that I spoke, it will condemn him on the last day,"
"habeo, habere, habui, habitus"	""	""	"15:18"	"la : Si mundus vos odit, scitote quia me priorem vobis odio habuit.
en: If the world hates you, realize that it hated me first."
"habeo, habere, habui, habitus"	""	""	"16:22"	"la : Et vos igitur nunc quidem tristitiam habetis; iterum autem videbo vos, et gaudebit cor vestrum, et gaudium vestrum nemo tollit a vobis.
en: So you also are now in anguish. But I will see you again, and your hearts will rejoice, and no one will take your joy away from you."
"Deus, Dei"	""	""	"1:12"	"la : Quotquot autem acceperunt eum, dedit eis potestatem filios Dei fieri, his, qui credunt in nomine eius,
en: But to those who did accept him he gave power to become children of God, to those who believe in his name,"
"Deus, Dei"	""	""	"1:49"	"la : Respondit ei Nathanael: “ Rabbi, tu es Filius Dei, tu rex es Israel! ”.
en: Nathanael answered him, ""Rabbi, you are the Son of God; you are the King of Israel."
"Deus, Dei"	""	""	"3:17"	"la : Non enim misit Deus Filium in mundum, ut iudicet mundum, sed ut salvetur mundus per ipsum.
en: For God did not send his Son into the world to condemn the world, but that the world might be saved through him."
"Deus, Dei"	""	""	"4:10"	"la : Respondit Iesus et dixit ei: “ Si scires donum Dei, et quis est, qui dicit tibi: “Da mihi bibere”, tu forsitan petisses ab eo, et dedisset tibi aquam vivam ”.
en: Jesus answered and said to her, ""If you knew the gift of God and who is saying to you, 'Give me a drink,' you would have asked him and he would have given you living water."
"Deus, Dei"	""	""	"6:28"	"la : Dixerunt ergo ad eum: “ Quid faciemus, ut operemur opera Dei? ”.
en: So they said to him, ""What can we do to accomplish the works of God?"
"Deus, Dei"	""	""	"6:69"	"la : et nos credidimus et cognovimus quia tu es Sanctus Dei ”.
en: We have come to believe and are convinced that you are the Holy One of God."
"Deus, Dei"	""	""	"9:24"	"la : Vocaverunt ergo rursum hominem, qui fuerat caecus, et dixerunt ei: “ Da gloriam Deo! Nos scimus quia hic homo peccator est ”.
en: So a second time they called the man who had been blind and said to him, ""Give God the praise! We know that this man is a sinner."
"Deus, Dei"	""	""	"10:35"	"la : Si illos dixit deos, ad quos sermo Dei factus est, et non potest solvi Scriptura,
en: If it calls them gods to whom the word of God came, and scripture cannot be set aside,"
"Deus, Dei"	""	""	"11:40"	"la : Dicit ei Iesus: “ Nonne dixi tibi quoniam, si credideris, videbis gloriam Dei? ”.
en: Jesus said to her, ""Did I not tell you that if you believe you will see the glory of God?"
"Deus, Dei"	""	""	"13:32"	"la : si Deus clarificatus est in eo, et Deus clarificabit eum in semetipso et continuo clarificabit eum.
en: (If God is glorified in him,) God will also glorify him in himself, and he will glorify him at once."
"mundus, mundi"	""	""	"3:19"	"la : Hoc est autem iudicium: Lux venit in mundum, et dilexerunt homines magis tenebras quam lucem; erant enim eorum mala opera.
en: And this is the verdict, that the light came into the world, but people preferred darkness to light, because their works were evil."
"mundus, mundi"	""	""	"7:4"	"la : Nemo quippe in occulto quid facit et quaerit ipse in palam esse. Si haec facis, manifesta teipsum mundo ”.
en: No one works in secret if he wants to be known publicly. If you do these things, manifest yourself to the world."
"mundus, mundi"	""	""	"9:39"	"la : Et dixit Iesus: “ In iudicium ego in hunc mundum veni, ut, qui non vident, videant, et, qui vident, caeci fiant ”.
en: Then Jesus said, ""I came into this world for judgment, so that those who do not see might see, and those who do see might become blind."
"mundus, mundi"	""	""	"12:46"	"la : Ego lux in mundum veni, ut omnis, qui credit in me, in tenebris non maneat.
en: I came into the world as light, so that everyone who believes in me might not remain in darkness."
"mundus, mundi"	""	""	"14:17"	"la : Spiritum veritatis, quem mundus non potest accipere, quia non videt eum nec cognoscit. Vos cognoscitis eum, quia apud vos manet; et in vobis erit.
en: the Spirit of truth, which the world cannot accept, because it neither sees nor knows it. But you know it, because it remains with you, and will be in you."
"mundus, mundi"	""	""	"14:31"	"la : sed, ut cognoscat mundus quia diligo Patrem, et sicut mandatum dedit mihi Pater, sic facio. Surgite, eamus hinc.
en: but the world must know that I love the Father and that I do just as the Father has commanded me. Get up, let us go."
"mundus, mundi"	""	""	"16:20"	"la : Amen, amen dico vobis quia plorabitis et flebitis vos, mundus autem gaudebit; vos contristabimini, sed tristitia vestra vertetur in gaudium.
en: Amen, amen, I say to you, you will weep and mourn, while the world rejoices; you will grieve, but your grief will become joy."
"mundus, mundi"	""	""	"17:6"	"la : Manifestavi nomen tuum hominibus, quos dedisti mihi de mundo. Tui erant, et mihi eos dedisti, et sermonem tuum servaverunt.
en: I revealed your name to those whom you gave me out of the world. They belonged to you, and you gave them to me, and they have kept your word."
"mundus, mundi"	""	""	"17:15"	"la : Non rogo, ut tollas eos de mundo, sed ut serves eos ex Malo.
en: I do not ask that you take them out of the world but that you keep them from the evil one."
