"word"	"headword"	"pos"	"meaning"
"bona"	"bonum, boni"	"N"	"good, good thing, profit, advantage"
"boni"	"bonum, boni"	"N"	"good, good thing, profit, advantage"
"bono"	"bonum, boni"	"N"	"good, good thing, profit, advantage"
"bonum"	"bonum, boni"	"N"	"good, good thing, profit, advantage"
"bonus"	"bonus, bona -um, melior -or -us, optimus -a -um"	"ADJ"	"good, honest, brave, noble, kind, pleasant, right, useful"
"boves"	"bos, bovis"	"N"	"ox"
"brachium"	"brachium, brachi(i)"	"N"	"arm"
"buccellam"	"buccella, buccellae"	"N"	"morsel, small mouthful of food"
"c"	"C., abb."	"N"	"Gaius (Roman praenomen)"
"cadens"	"cado, cadere, cecidi, casus"	"V"	"fall, sink, drop, plummet, topple"
"caeci"	"caecus, caeca -um, caecior -or -us, caecissimus -a -um"	"ADJ"	"blind"
"caeco"	"caecus, caeca -um, caecior -or -us, caecissimus -a -um"	"ADJ"	"blind"
"caecorum"	"caecus, caeca -um, caecior -or -us, caecissimus -a -um"	"ADJ"	"blind"
"caecum"	"caecus, caeca -um, caecior -or -us, caecissimus -a -um"	"ADJ"	"blind"
"caecus"	"caecus, caeca -um, caecior -or -us, caecissimus -a -um"	"ADJ"	"blind"
"caedis"	"caedo, caedere, cecidi, caesus"	"V"	"chop, hew, cut out/down/to pieces"
"caelestia"	"caelestis, caeleste, caelestior -or -us, caelestissimus -a -um"	"ADJ"	"heavenly, of heavens/sky, from heaven/sky"
"caelo"	"caelus, caeli"	"N"	"heaven, sky, heavens"
"caelum"	"caelus, caeli"	"N"	"heaven, sky, heavens"
"caesarem"	"Caesar, Caesaris"	"N"	"Caesar"
"caesari"	"Caesar, Caesaris"	"N"	"Caesar"
"caesaris"	"Caesar, Caesaris"	"N"	"Caesar"
"caipha"	"Caiphas, Caiphae"	"N"	"Caiaphas, the Roman-appointed Jewish high priest at the time"
"caiphae"	"Caiphas, Caiphae"	"N"	"Caiaphas, the Roman-appointed Jewish high priest at the time"
"caipham"	"Caiphas, Caiphae"	"N"	"Caiaphas, the Roman-appointed Jewish high priest at the time"
"caiphas"	"Caiphas, Caiphae"	"N"	"Caiaphas, the Roman-appointed Jewish high priest at the time"
"calcaneum"	"calcaneus, calcanei"	"N"	"heel"
"calceamenti"	"calceamentum, calceamenti"	"N"	"shoe"
"calefaciebant"	"calefacio, calefacere, calefeci, calefactus"	"V"	"make warm/hot (exert/ferment)"
"calefaciens"	"calefacio, calefacere, calefeci, calefactus"	"V"	"make warm/hot (exert/ferment)"
"calicem"	"calix, calicis"	"N"	"cup, goblet, a vessel for drinking"
"calvariae"	"calvaria, calvariae"	"N"	"skull"
"cana"	"canus, cana, canum"	"ADJ"	"white, gray"
"cantabit"	"canto, cantare, cantavi, cantatus"	"V"	"sing"
"cantavit"	"canto, cantare, cantavi, cantatus"	"V"	"sing"
"capere"	"capio, capere, cepi, captus"	"V"	"take hold, seize"
"capharnaum"	"Capharnaum, Capharnai"	"N"	"Capernaum, a city in Galilee"
"capientes"	"capio, capere, cepi, captus"	"V"	"take hold, seize"
"capillis"	"capillus, capilli"	"N"	"hair"
"capit"	"capio, capere, cepi, captus"	"V"	"take hold, seize"
"capite"	"capio, capere, cepi, captus"	"V"	"take hold, seize"
"capiti"	"caput, capitis"	"N"	"head"
"caput"	"caput, capitis"	"N"	"head"
"carcerem"	"carcer, carceris"	"N"	"prison, jail"
"carne"	"caro, carnis"	"N"	"meat, flesh"
"carnem"	"caro, carnis"	"N"	"meat, flesh"
"carnis"	"caro, carnis"	"N"	"meat, flesh"
"caro"	"carus, cara -um, carior -or -us, carissimus -a -um"	"ADJ"	"dear, beloved"
"castello"	"castellum, castelli"	"N"	"redoubt, fortress, stronghold, fortified settlement, refuge"
"castellum"	"castellum, castelli"	"N"	"redoubt, fortress, stronghold, fortified settlement, refuge"
"causam"	"causa, causae"	"N"	"cause/reason/motive"
"ceciderunt"	"cado, cadere, cecidi, casus"	"V"	"fall, sink, drop, plummet, topple"
"cecidit"	"cado, cadere, cecidi, casus"	"V"	"fall, sink, drop, plummet, topple"
"cedron"	"Cedron"	"N"	"Kidron Valley, near Jerusalem"
"cena"	"cena, cenae"	"N"	"dinner/supper, principal Roman meal (evening)"
"cenam"	"cena, cenae"	"N"	"dinner/supper, principal Roman meal (evening)"
"centum"	"centum, centesimus -a -um, centeni -ae -a, centie(n)s"	"NUM"	" 100 - (CARD answers 'how many')"
"cephas"	"Cephas, undeclined"	"N"	"rock (Aramaic), surname of Simon Peter"
"christum"	"Christus, Christi"	"N"	"Christ"
"christus"	"Christus, Christi"	"N"	"Christ"
"cibos"	"cibus, cibi"	"N"	"food"
"cibum"	"cibus, cibi"	"N"	"food"
"cibus"	"cibus, cibi"	"N"	"food"
"cingebas"	"cingo, cingere, cinxi, cinctus"	"V"	"surround/encircle/ring"
"cinget"	"cingo, cingere, cinxi, cinctus"	"V"	"surround/encircle/ring"
"circumciditis"	"circumcido, circumcidere, circumcidi, circumcisus"	"V"	"cut/make incision around, ring"
"circumcisionem"	"circumcisio, circumcisionis"	"N"	"circumcision"
"circumdederunt"	"circumdo, circumdare, circumdedi, circumdatus"	"V"	"surround"
"circumponentes"	"circumpono, circumponere, circumposui, circumpositus"	"V"	"put/set/place (all) around/on either side of"
"circumstat"	"circumsto, circumstare, circumsteti, circumstatus"	"V"	"stand/gather/crowd around, surround, beset"
"citius"	"citus, cita -um, citior -or -us, citissimus -a -um"	"ADJ"	"quick, swift, rapid"
"cito"	"cieo, ciere, civi, citus"	"V"	"move, set in motion"
"civitate"	"civitas, civitatis"	"N"	"community/city/town/state"
"civitatem"	"civitas, civitatis"	"N"	"community/city/town/state"
"clamabant"	"clamo, clamare, clamavi, clamatus"	"V"	"proclaim, declare"
"clamantis"	"clamo, clamare, clamavi, clamatus"	"V"	"proclaim, declare"
"clamat"	"clamo, clamare, clamavi, clamatus"	"V"	"proclaim, declare"
"clamaverunt"	"clamo, clamare, clamavi, clamatus"	"V"	"proclaim, declare"
"clamavit"	"clamo, clamare, clamavi, clamatus"	"V"	"proclaim, declare"
"clarifica"	"clarifico, clarificare, clarificavi, clarificatus"	"V"	"make illustrious/famous"
"clarificabit"	"clarifico, clarificare, clarificavi, clarificatus"	"V"	"make illustrious/famous"
"clarificaturus"	"clarifico, clarificare, clarificavi, clarificatus"	"V"	"make illustrious/famous"
"clarificatus"	"clarifico, clarificare, clarificavi, clarificatus"	"V"	"make illustrious/famous"
"clarificavi"	"clarifico, clarificare, clarificavi, clarificatus"	"V"	"make illustrious/famous"
"clarificet"	"clarifico, clarificare, clarificavi, clarificatus"	"V"	"make illustrious/famous"
"claritate"	"claritas, claritatis"	"N"	"clarity/vividness"
"claritatem"	"claritas, claritatis"	"N"	"clarity/vividness"
"claudorum"	"claudus, clauda, claudum"	"ADJ"	"limping, lame"
"clausae"	"claudo, claudere, clausi, clausus"	"V"	"close, shut, block up"
"clausis"	"claudo, claudere, clausi, clausus"	"V"	"close, shut, block up"
"clavorum"	"clavus, clavi"	"N"	"callus, wart, tumor, excrescence"
"cleopae"	"Cleopas, Cleopae"	"N"	"Clopas, the husband of Mary, Jesus' mother's sister"
"coepit"	"coepio, coepere, coepi, coeptus"	"V"	"begin, commence, initiate"
